sale_date,product_category_name,order_units,unit_price,customer_state
2018-03-29,bebes,1,115.0,SP
2018-03-15,moveis_decoracao,1,299.0,SP
2018-03-27,cama_mesa_banho,1,259.9,SP
2018-08-03,esporte_lazer,1,55.9,MG
2017-01-21,moveis_decoracao,1,29.9,SP
2017-09-26,bebes,1,174.9,MG
2017-09-13,construcao_ferramentas_seguranca,2,142.9,GO
2017-09-13,casa_construcao,2,217.85,GO
2018-08-09,automotivo,2,95.9,PA
2017-12-07,moveis_decoracao,1,49.9,SP
2018-05-30,telefonia,1,39.99,CE
2017-06-27,audio,1,89.0,SP
2017-12-08,cool_stuff,1,144.99,RJ
2018-03-09,papelaria,1,43.99,SP
2017-09-11,ferramentas_jardim,1,59.9,SP
2018-06-12,papelaria,1,21.5,SP
2018-07-03,beleza_saude,1,139.99,RJ
2017-05-23,esporte_lazer,1,99.9,BA
2017-11-29,automotivo,1,19.9,DF
2018-01-14,perfumaria,1,39.9,SP
2017-08-23,informatica_acessorios,1,52.0,SP
2017-09-10,moveis_decoracao,1,159.0,MG
2018-08-21,cool_stuff,1,132.0,SP
2018-05-27,utilidades_domesticas,1,139.9,SP
2017-05-20,esporte_lazer,1,135.0,MG
2017-07-28,cama_mesa_banho,1,153.0,SP
2017-12-05,perfumaria,1,84.99,MG
2018-03-07,moveis_decoracao,1,59.9,SP
2018-08-20,cool_stuff,1,129.9,SP
2018-02-09,brinquedos,1,38.25,PR
2018-08-02,climatizacao,1,412.0,SP
2018-04-18,eletrodomesticos_2,1,1148.0,SC
2018-01-05,utilidades_domesticas,1,55.0,PR
2018-05-14,cama_mesa_banho,1,39.0,SP
2017-11-26,esporte_lazer,1,69.9,MG
2018-06-26,informatica_acessorios,2,139.5,PR
2017-12-01,brinquedos,1,69.99,RJ
2017-05-26,utilidades_domesticas,1,24.9,BA
2017-08-09,utilidades_domesticas,1,75.0,ES
2018-08-09,utilidades_domesticas,1,18.9,SP
2018-04-01,eletroportateis,1,1099.0,SP
2017-04-19,cama_mesa_banho,1,65.9,RJ
2017-08-17,informatica_acessorios,1,28.9,ES
2018-08-16,informatica_acessorios,1,22.32,ES
2018-07-01,relogios_presentes,1,1999.0,PR
2018-02-22,relogios_presentes,1,204.0,MG
2018-08-24,perfumaria,1,69.0,MG
2018-08-11,telefonia,1,249.0,BA
2018-02-25,perfumaria,1,349.9,SP
2018-07-11,informatica_acessorios,1,64.99,SP
2018-07-31,brinquedos,1,185.9,SP
2017-10-11,relogios_presentes,1,154.9,BA
2018-05-09,beleza_saude,1,110.32,GO
2018-05-09,beleza_saude,1,138.9,GO
2017-11-25,utilidades_domesticas,1,21.15,BA
2018-07-24,esporte_lazer,1,144.9,RJ
2017-05-08,papelaria,1,131.0,SP
2018-03-29,cama_mesa_banho,1,94.5,SP
2018-04-22,relogios_presentes,1,102.9,BA
2018-07-22,relogios_presentes,1,182.0,MG
2018-08-14,beleza_saude,1,18.0,SP
2017-12-19,cool_stuff,1,166.99,GO
2017-10-25,telefonia,1,25.99,SP
2017-07-31,telefonia,1,29.99,PE
2018-07-06,cool_stuff,1,31.99,SP
2017-10-24,informatica_acessorios,2,175.0,RS
2018-06-12,esporte_lazer,1,60.0,SP
2017-11-09,esporte_lazer,1,84.94,SP
2017-02-23,moveis_decoracao,3,21.9,RJ
2017-06-17,beleza_saude,1,89.0,RJ
2017-05-29,moveis_escritorio,1,159.99,RS
2018-05-24,esporte_lazer,1,99.99,CE
2018-06-03,construcao_ferramentas_construcao,1,94.5,SP
2018-05-14,moveis_decoracao,1,189.9,RJ
2018-01-29,cama_mesa_banho,1,79.99,RJ
2017-11-24,perfumaria,1,65.0,SP
2016-10-05,informatica_acessorios,1,75.0,PE
2018-03-07,esporte_lazer,1,109.9,PR
2017-03-22,esporte_lazer,1,68.9,MG
2017-11-06,eletronicos,2,59.9,SP
2017-05-19,moveis_decoracao,1,26.0,SC
2017-12-16,bebes,1,64.9,SP
2018-04-18,pet_shop,1,16.9,RJ
2018-03-29,construcao_ferramentas_construcao,1,112.0,BA
2018-06-23,automotivo,1,60.0,MA
2018-08-06,informatica_acessorios,1,170.0,RS
2017-06-02,telefonia,1,149.99,SP
2017-11-06,telefonia,1,27.99,BA
2018-06-27,relogios_presentes,1,69.0,RS
2017-04-14,esporte_lazer,1,79.9,GO
2018-03-26,esporte_lazer,1,185.0,RS
2017-12-04,bebes,1,64.89,PR
2018-06-13,informatica_acessorios,1,29.99,SE
2018-02-02,automotivo,1,179.49,SP
2017-08-10,cool_stuff,1,59.99,MG
2017-09-05,beleza_saude,1,179.9,DF
2017-12-07,beleza_saude,1,84.99,MG
2017-11-19,utilidades_domesticas,1,59.9,SP
2017-12-08,informatica_acessorios,2,235.92,SP
2017-05-10,papelaria,1,292.0,SP
2017-11-30,cama_mesa_banho,2,59.99,SP
2018-03-19,beleza_saude,1,47.65,SP
2018-03-04,cama_mesa_banho,1,89.99,PR
2018-07-02,consoles_games,1,296.5,RS
2017-04-06,ferramentas_jardim,1,2690.0,RJ
2018-08-12,ferramentas_jardim,1,49.9,RJ
2017-07-16,cama_mesa_banho,1,89.9,SP
2018-07-28,malas_acessorios,1,106.9,PR
2017-10-18,esporte_lazer,1,204.0,SP
2017-10-18,esporte_lazer,1,120.0,SP
2017-08-28,moveis_decoracao,1,29.9,MG
2017-08-28,moveis_decoracao,1,29.9,MG
2017-08-28,moveis_decoracao,1,29.9,MG
2017-12-21,cool_stuff,1,199.98,SP
2017-11-27,perfumaria,1,56.99,SP
2018-07-22,eletronicos,1,19.9,SP
2018-05-08,relogios_presentes,1,99.9,RJ
2017-11-18,automotivo,1,61.5,PE
2017-05-11,brinquedos,1,94.9,RJ
2017-12-27,brinquedos,1,99.0,BA
2018-01-09,fashion_bolsas_e_acessorios,1,41.3,SP
2018-06-23,beleza_saude,1,160.0,RJ
2018-07-03,construcao_ferramentas_iluminacao,1,124.17,BA
2017-06-08,perfumaria,1,56.99,GO
2017-10-17,cama_mesa_banho,1,72.0,SP
2017-09-08,moveis_decoracao,1,229.0,PR
2017-07-17,bebes,1,50.0,PR
2018-05-07,eletroportateis,2,49.1,SP
2018-08-01,moveis_decoracao,1,40.0,SC
2018-08-21,beleza_saude,1,132.0,BA
2018-05-04,automotivo,1,27.9,MG
2018-03-08,utilidades_domesticas,1,309.99,SP
2018-06-11,relogios_presentes,1,180.0,RJ
2017-06-13,esporte_lazer,1,73.9,GO
2017-08-04,consoles_games,1,355.9,GO
2017-10-06,cool_stuff,1,359.0,MS
2018-05-19,relogios_presentes,1,119.0,SP
2017-08-05,informatica_acessorios,1,12.88,RJ
2017-10-31,moveis_decoracao,1,49.9,RJ
2017-09-11,relogios_presentes,1,29.0,RS
2018-03-07,bebes,2,37.39,DF
2018-01-13,instrumentos_musicais,1,49.0,BA
2018-06-19,automotivo,1,108.9,SP
2018-03-16,perfumaria,1,54.99,PR
2017-10-12,esporte_lazer,1,72.0,ES
2018-08-06,telefonia,1,170.0,ES
2018-06-16,telefonia,1,27.99,SP
2017-04-29,fashion_calcados,1,74.9,CE
2017-04-29,fashion_calcados,1,74.9,CE
2018-02-17,utilidades_domesticas,1,49.99,MT
2018-08-01,moveis_decoracao,1,42.99,RN
2018-03-04,beleza_saude,1,59.9,GO
2018-02-21,beleza_saude,1,550.0,RJ
2017-10-09,ferramentas_jardim,2,59.9,PR
2018-01-26,esporte_lazer,1,1695.0,PI
2017-01-27,consoles_games,1,39.9,PA
2017-09-18,cama_mesa_banho,1,279.9,SP
2017-04-03,brinquedos,1,30.9,MG
2018-06-04,beleza_saude,1,122.99,PE
2017-09-14,beleza_saude,1,19.9,SP
2017-02-17,cine_foto,1,59.0,MG
2018-02-05,cama_mesa_banho,1,153.0,RJ
2017-01-25,esporte_lazer,2,35.0,SP
2017-01-25,esporte_lazer,2,21.0,SP
2017-01-25,esporte_lazer,2,28.0,SP
2018-06-15,moveis_decoracao,1,380.0,PR
2017-12-06,eletronicos,1,89.9,RJ
2017-01-14,esporte_lazer,1,28.0,DF
2018-08-01,moveis_escritorio,1,299.9,PE
2018-05-20,beleza_saude,1,110.32,SP
2018-07-01,automotivo,1,35.9,MG
2017-05-21,consoles_games,1,29.99,RJ
2018-03-14,alimentos,1,56.97,MG
2017-10-31,perfumaria,1,104.9,SP
2017-10-04,relogios_presentes,1,899.99,RJ
2018-01-17,informatica_acessorios,1,39.9,MG
2018-07-20,beleza_saude,1,27.9,SP
2017-12-14,brinquedos,1,149.99,SP
2018-06-19,ferramentas_jardim,2,89.0,RJ
2018-04-02,casa_construcao,1,75.9,MG
2018-07-04,beleza_saude,2,59.0,SP
2017-04-13,informatica_acessorios,1,27.9,SP
2018-07-24,moveis_decoracao,1,196.8,SP
2017-07-05,livros_interesse_geral,1,122.5,PR
2018-04-30,utilidades_domesticas,1,279.99,SP
2017-05-03,informatica_acessorios,1,89.9,MG
2018-05-25,eletronicos,1,12.65,SP
2017-10-12,eletroportateis,1,895.0,MG
2017-03-13,telefonia,1,27.9,ES
2017-11-20,brinquedos,1,69.99,CE
2017-11-26,automotivo,1,559.0,SP
2018-06-01,relogios_presentes,1,195.9,RJ
2017-12-23,bebes,1,59.9,SP
2017-12-01,cama_mesa_banho,1,19.9,SP
2017-12-03,papelaria,1,39.99,SP
2017-10-04,esporte_lazer,1,59.99,MG
2018-08-21,automotivo,1,179.9,SP
2017-11-02,esporte_lazer,1,189.0,GO
2017-06-23,cama_mesa_banho,1,89.9,PR
2018-05-10,beleza_saude,1,208.0,MG
2017-02-13,informatica_acessorios,1,22.0,MG
2017-09-13,eletroportateis,1,179.9,SP
2018-04-11,moveis_decoracao,1,159.9,SP
2017-03-19,perfumaria,1,198.0,SP
2017-11-03,instrumentos_musicais,1,283.02,GO
2017-11-27,consoles_games,1,24.5,SP
2018-07-18,beleza_saude,1,480.65,MG
2018-05-06,automotivo,1,318.98,GO
2017-11-11,eletronicos,1,19.9,MG
2017-02-20,automotivo,2,80.4,SP
2018-03-07,cool_stuff,1,179.99,SP
2018-06-24,bebes,1,12.9,SP
2018-08-06,eletroportateis,1,1349.0,SE
2017-08-04,casa_conforto,1,89.9,RJ
2017-08-04,cama_mesa_banho,1,89.9,RJ
2018-05-03,automotivo,1,335.0,SP
2017-12-02,brinquedos,1,25.0,RJ
2018-01-01,telefonia,1,27.99,MG
2018-02-03,eletronicos,1,25.9,MS
2018-07-11,livros_tecnicos,1,53.99,SP
2017-02-07,beleza_saude,1,23.9,SP
2017-03-23,moveis_decoracao,1,109.9,GO
2018-07-30,papelaria,1,99.0,GO
2018-02-09,informatica_acessorios,1,115.52,RS
2018-05-04,pet_shop,1,41.9,RS
2017-11-26,casa_construcao,1,355.79,MT
2018-02-15,utilidades_domesticas,1,44.9,SP
2017-08-31,pet_shop,1,88.6,SP
2017-02-11,moveis_escritorio,1,119.6,SP
2017-05-08,moveis_escritorio,6,112.99,SP
2018-08-27,cama_mesa_banho,1,39.9,SP
2017-02-06,automotivo,1,117.3,PR
2018-01-16,fashion_bolsas_e_acessorios,1,32.0,GO
2018-05-18,ferramentas_jardim,1,24.6,SP
2018-01-22,cama_mesa_banho,1,79.0,SP
2017-11-29,cool_stuff,1,65.99,RS
2017-12-26,fashion_bolsas_e_acessorios,1,133.0,PR
2017-12-12,relogios_presentes,1,79.0,SP
2018-08-04,alimentos,1,79.9,SP
2018-02-24,moveis_escritorio,1,116.99,SP
2018-08-05,bebes,1,49.0,MG
2017-11-26,beleza_saude,1,49.39,SP
2018-03-23,perfumaria,1,243.37,MA
2018-05-17,moveis_decoracao,1,249.0,SP
2017-12-09,esporte_lazer,1,119.9,SP
2018-05-02,beleza_saude,2,59.99,SP
2018-01-25,utilidades_domesticas,1,289.0,RS
2018-03-01,esporte_lazer,1,117.0,RS
2017-11-16,malas_acessorios,1,35.9,BA
2018-01-04,moveis_decoracao,1,124.9,GO
2018-08-01,moveis_decoracao,1,75.0,SP
2017-10-17,fashion_bolsas_e_acessorios,1,49.0,SP
2017-11-16,automotivo,1,139.0,SP
2018-01-18,moveis_decoracao,1,29.99,PR
2017-09-08,cama_mesa_banho,1,159.9,RJ
2018-07-29,informatica_acessorios,1,85.0,SP
2017-04-25,cool_stuff,1,129.99,MG
2018-04-26,beleza_saude,1,110.32,PR
2018-03-01,beleza_saude,1,119.9,BA
2018-08-16,beleza_saude,1,34.9,SP
2018-01-25,eletronicos,1,14.6,SP
2017-08-16,cama_mesa_banho,1,89.9,SC
2018-05-21,telefonia_fixa,5,125.0,SP
2018-05-12,brinquedos,1,219.99,SP
2018-01-03,moveis_cozinha_area_de_servico_jantar_e_jardim,1,74.9,SP
2017-08-31,moveis_escritorio,2,259.9,SP
2017-07-12,telefonia,1,75.0,ES
2018-06-14,cama_mesa_banho,1,127.5,SP
2018-03-08,moveis_decoracao,5,45.0,BA
2017-05-08,utilidades_domesticas,1,119.9,SP
2017-11-16,automotivo,1,109.8,RJ
2017-06-29,beleza_saude,1,73.9,SP
2017-08-26,casa_conforto,1,599.0,MA
2018-01-15,beleza_saude,1,19.9,RJ
2018-06-05,perfumaria,1,19.9,SP
2017-03-04,moveis_decoracao,1,7.8,SP
2017-07-04,cama_mesa_banho,1,205.0,SP
2017-05-19,moveis_decoracao,1,59.9,SC
2018-04-24,construcao_ferramentas_iluminacao,1,120.0,SP
2017-09-13,cama_mesa_banho,1,45.95,MT
2017-11-20,informatica_acessorios,1,419.0,MG
2018-01-19,utilidades_domesticas,2,27.9,DF
2018-05-07,malas_acessorios,1,189.9,MT
